city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id,CONTINENT
Uppsala,Uppsala,59.8601,17.64,Sweden,SE,SWE,Stockholm,,133117,1752330831,E
Schaarbeek,Schaarbeek,50.8675,4.3736,Belgium,BE,BEL,Brussels-Capital Region,,132799,1056091146,E
Luxembourg,Luxembourg,49.6117,6.1319,Luxembourg,LU,LUX,Luxembourg,primary,132780,1442262731,E
Fürth,Furth,49.4667,11,Germany,DE,DEU,Bavaria,minor,132032,1276580165,E
Västerås,Vasteras,59.6173,16.5422,Sweden,SE,SWE,Västmanland,admin,131643,1752826955,E
Annecy,Annecy,45.916,6.133,France,FR,FRA,Auvergne-Rhône-Alpes,minor,131272,1250551848,E
Vlorë,Vlore,40.45,19.4833,Albania,AL,ALB,Vlorë,admin,130827,1008276050,E
Innsbruck,Innsbruck,47.2683,11.3933,Austria,AT,AUT,Tirol,admin,130585,1040038924,E
Lincoln,Lincoln,53.2283,-0.5389,United Kingdom,GB,GBR,Lincolnshire,,130200,1826312785,E
Heilbronn,Heilbronn,49.15,9.2167,Germany,DE,DEU,Baden-Württemberg,minor,130093,1276377359,E
Ulm,Ulm,48.4,9.9833,Germany,DE,DEU,Baden-Württemberg,minor,129942,1276002212,E
Mataró,Mataro,41.5333,2.45,Spain,ES,ESP,Catalonia,,129870,1724901780,E
Zwolle,Zwolle,52.5167,6.1,Netherlands,NL,NLD,Overijssel,admin,129840,1528690076,E
Limoges,Limoges,45.8353,1.2625,France,FR,FRA,Nouvelle-Aquitaine,minor,129754,1250736774,E
Ferrara,Ferrara,44.8353,11.6199,Italy,IT,ITA,Emilia-Romagna,minor,129340,1380682411,E
Tottenham,Tottenham,51.5975,-0.0681,United Kingdom,GB,GBR,Haringey,,129237,1826538674,E
Pforzheim,Pforzheim,48.895,8.705,Germany,DE,DEU,Baden-Württemberg,minor,128992,1276732622,E
Örebro,Orebro,59.2669,15.1965,Sweden,SE,SWE,Örebro,admin,128658,1752223019,E
Würzburg,Wurzburg,49.7833,9.9333,Germany,DE,DEU,Bavaria,minor,128246,1276233514,E
Latina,Latina,41.4672,12.9036,Italy,IT,ITA,Lazio,minor,127564,1380947157,E
Opole,Opole,50.6667,17.9333,Poland,PL,POL,Opolskie,admin,127387,1616096837,E
Wolfsburg,Wolfsburg,52.4231,10.7872,Germany,DE,DEU,Lower Saxony,minor,127256,1276033981,E
Salerno,Salerno,40.6806,14.7594,Italy,IT,ITA,Campania,minor,127186,1380863448,E
Torrejón de Ardoz,Torrejon de Ardoz,40.4614,-3.4978,Spain,ES,ESP,Madrid,,127132,1724711203,E
Leiria,Leiria,39.7431,-8.8069,Portugal,PT,PRT,Leiria,admin,126897,1620304777,E
Kamëz,Kamez,41.3833,19.7667,Albania,AL,ALB,Tiranë,,126777,1008148968,E
Zoetermeer,Zoetermeer,52.0667,4.5,Netherlands,NL,NLD,Zuid-Holland,minor,125267,1528416914,E
Algeciras,Algeciras,36.1275,-5.4539,Spain,ES,ESP,Andalusia,,124978,1724355681,E
Tychy,Tychy,50.1236,18.9867,Poland,PL,POL,Śląskie,minor,124882,1616396493,E
Leeuwarden,Leeuwarden,53.2,5.7833,Netherlands,NL,NLD,Fryslân,admin,124481,1528992603,E
Exeter,Exeter,50.7256,-3.5269,United Kingdom,GB,GBR,Devon,,124180,1826840903,E
Kuopio,Kuopio,62.8925,27.6783,Finland,FI,FIN,Pohjois-Savo,admin,124131,1246334067,E
Leiden,Leiden,52.16,4.49,Netherlands,NL,NLD,Zuid-Holland,minor,124093,1528966223,E
Cambridge,Cambridge,52.205,0.1225,United Kingdom,GB,GBR,Cambridgeshire,,123867,1826229713,E
Giugliano in Campania,Giugliano in Campania,40.9283,14.2011,Italy,IT,ITA,Campania,,123679,1380386690,E
Romford,Romford,51.5768,0.1801,United Kingdom,GB,GBR,Havering,,122854,1826695421,E
León,Leon,42.6056,-5.57,Spain,ES,ESP,Castille-Leon,minor,122051,1724907542,E
Colchester,Colchester,51.8917,0.903,United Kingdom,GB,GBR,Essex,,121859,1826545433,E
Monza,Monza,45.5836,9.2736,Italy,IT,ITA,Lombardy,minor,121799,1380622727,E
Metz,Metz,49.1203,6.1778,France,FR,FRA,Grand Est,minor,121695,1250778717,E
Dordrecht,Dordrecht,51.7958,4.6783,Netherlands,NL,NLD,Zuid-Holland,minor,121434,1528952691,E
Sassari,Sassari,40.7267,8.5592,Italy,IT,ITA,Sardegna,minor,121021,1380371433,E
Perpignan,Perpignan,42.6986,2.8956,France,FR,FRA,Occitanie,minor,120996,1250102680,E
Anderlecht,Anderlecht,50.8333,4.3333,Belgium,BE,BEL,Brussels-Capital Region,,120887,1056297471,E
Lahti,Lahti,60.9833,25.65,Finland,FI,FIN,Päijät-Häme,admin,120809,1246538847,E
Göttingen,Gottingen,51.5339,9.9356,Germany,DE,DEU,Lower Saxony,minor,120261,1276211234,E
High Wycombe,High Wycombe,51.6287,-0.7482,United Kingdom,GB,GBR,Buckinghamshire,,120256,1826609342,E
Maastricht,Maastricht,50.8667,5.6833,Netherlands,NL,NLD,Limburg,admin,120227,1528563623,E
Boulogne-Billancourt,Boulogne-Billancourt,48.8352,2.2409,France,FR,FRA,Île-de-France,minor,120205,1250978859,E
Besançon,Besancon,47.24,6.02,France,FR,FRA,Bourgogne-Franche-Comté,minor,120057,1250182013,E
Gateshead,Gateshead,54.9556,-1.6,United Kingdom,GB,GBR,Gateshead,,120046,1826635849,E
Mariupol,Mariupol,47.0958,37.5494,Ukraine,UA,UKR,Donetska Oblast,minor,120000,1804630021,E
Gorzów Wielkopolski,Gorzow Wielkopolski,52.7333,15.25,Poland,PL,POL,Lubuskie,admin,119964,1616788025,E
Suceava,Suceava,47.6514,26.2556,Romania,RO,ROU,Suceava,admin,119694,1642721443,E
Bergamo,Bergamo,45.695,9.67,Italy,IT,ITA,Lombardy,minor,119534,1380253521,E
Slough,Slough,51.5084,-0.5881,United Kingdom,GB,GBR,Slough,,119070,1826807636,E
Bottrop,Bottrop,51.5247,6.9228,Germany,DE,DEU,North Rhine-Westphalia,minor,118705,1276473363,E
Pescara,Pescara,42.4643,14.2142,Italy,IT,ITA,Abruzzo,minor,118657,1380000966,E
Reutlingen,Reutlingen,48.4833,9.2167,Germany,DE,DEU,Baden-Württemberg,minor,118528,1276256795,E
Bruges,Bruges,51.2089,3.2242,Belgium,BE,BEL,Flanders,minor,118509,1056953902,E
Trento,Trento,46.0667,11.1167,Italy,IT,ITA,Trentino-Alto Adige,admin,118046,1380953307,E
Blackburn,Blackburn,53.748,-2.482,United Kingdom,GB,GBR,Blackburn with Darwen,,117963,1826802533,E
Erlangen,Erlangen,49.5833,11.0167,Germany,DE,DEU,Bavaria,minor,117806,1276339482,E
Alcobendas,Alcobendas,40.5333,-3.6333,Spain,ES,ESP,Madrid,,117041,1724354998,E
Dąbrowa Górnicza,Dabrowa Gornicza,50.3214,19.1872,Poland,PL,POL,Śląskie,minor,116930,1616312023,E
Linköping,Linkoping,58.4094,15.6257,Sweden,SE,SWE,Östergötland,admin,116851,1752963378,E
Barcelos,Barcelos,41.5333,-8.6167,Portugal,PT,PRT,Braga,minor,116752,1620850431,E
Cheltenham,Cheltenham,51.9,-2.0667,United Kingdom,GB,GBR,Gloucestershire,,116447,1826524974,E
Forlì,Forli,44.2225,12.0408,Italy,IT,ITA,Emilia-Romagna,minor,116440,1380594352,E
Orléans,Orleans,47.9025,1.909,France,FR,FRA,Centre-Val de Loire,admin,116344,1250441405,E
Rouen,Rouen,49.4428,1.0886,France,FR,FRA,Normandie,admin,116331,1250372069,E
Siracusa,Siracusa,37.0692,15.2875,Italy,IT,ITA,Sicilia,minor,116244,1380071816,E
Târgu-Mureş,Targu-Mures,46.5456,24.5625,Romania,RO,ROU,Mureş,admin,116033,1642875714,E
Helsingborg,Helsingborg,56.0424,12.721,Sweden,SE,SWE,Skåne,minor,116029,1752789933,E
Sandvika,Sandvika,59.89,10.5264,Norway,NO,NOR,Viken,minor,115543,1578704639,E
Uzhhorod,Uzhhorod,48.6239,22.295,Ukraine,UA,UKR,Zakarpatska Oblast,admin,115449,1804851697,E
Chelmsford,Chelmsford,51.73,0.48,United Kingdom,GB,GBR,Essex,,115369,1826876670,E
Nyíregyháza,Nyiregyhaza,47.9558,21.7168,Hungary,HU,HUN,Szabolcs-Szatmár-Bereg,admin,115359,1348653343,E
Koblenz,Koblenz,50.3597,7.5978,Germany,DE,DEU,Rhineland-Palatinate,minor,115298,1276605495,E
Saint-Denis,Saint-Denis,48.9356,2.3539,France,FR,FRA,Île-de-France,minor,115237,1250935115,E
Elbląg,Elblag,54.1667,19.4,Poland,PL,POL,Warmińsko-Mazurskie,minor,115220,1616395994,E
Bremerhaven,Bremerhaven,53.55,8.5833,Germany,DE,DEU,Bremen,,114677,1276991229,E
Borås,Boras,57.7304,12.92,Sweden,SE,SWE,Västra Götaland,minor,114445,1752555835,E
Alphen aan den Rijn,Alphen aan den Rijn,52.1333,4.6667,Netherlands,NL,NLD,Zuid-Holland,minor,114182,1528593016,E
Namur,Namur,50.4667,4.8667,Belgium,BE,BEL,Wallonia,admin,114007,1056954156,E
Petržalka,Petrzalka,48.1333,17.1167,Slovakia,SK,SVK,Bratislava,,114000,1703430611,E
